Ряд;ЛучшаяПамять_m;MAE;MSE;RMSE;MAE_%;MSE_%;RMSE_%;MAPE_%
GAZP;4;20,452617128946006;760,0790341504517;27,569530901893337;14,072549353269547;3,523681173295592;18,969385766983137;15,52874508278593
GMKN;6;3100,772070046992;18314899,932492178;4279,591094075715;18,211774831811532;6,143990375179916;25,135336495839795;20,244276233279987
LKOH;4;1021,7997322954874;1783281,0490804377;1335,3954654260428;15,839139738400016;4,206371981045138;20,700255357663526;16,249090388872144
ROSN;6;83,42632071906178;10843,10479513289;104,13022997733601;16,937712539027146;4,3810417355567886;21,1411445066391;16,144425055284984
SBER;4;77,97418802026499;9092,30623716127;95,35358533983539;27,754497053368755;11,386398897354413;33,94060099291834;26,889864094323663
