ЛучшаяПамять;6

Метрики
Память;MAE;MSE;RMSE;MAPE
1;12570651,645312134;670633202398842,8;25896586,6939804;798,0204387118661
2;805189,7961994999;1488171127240,1587;1219906,1960823704;50,91472611029979
3;155602,09476196865;47058513836,04145;216929,74400953285;9,918500662786014
4;26456,02350122763;948505022,4038477;30797,808727307984;1,6938464080131053
5;13500,134226873022;223918245,825098;14963,89808255516;0,8685670747972182
6;3100,772070046992;18314899,932492178;4279,591094075715;0,20244276233279987
7;34148,483989006556;2318609338,714543;48151,94013447997;2,175772179199244
8;295939,46226257563;284009041979,1477;532924,9871972111;18,77977329560609

Прогнозная цена
Дата;Изначальная цена;Прогнозная цена
2022-05-24;20010;20306,669213062494
2022-05-25;20080;20027,722133664156
2022-05-26;20198;19752,606872881093
2022-05-27;20162;20029,132262825282
2022-05-30;20132;20029,502557451375
2022-05-31;20190;20029,8728589234
2022-06-01;20416;20310,27981677415
2022-06-02;20154;20594,6123143707
2022-06-03;20314;20882,925307062287
2022-06-06;20294;21175,274519542134
2022-06-07;20200;21471,716456617833
2022-06-08;20134;21176,765446562968
2022-06-09;20310;21473,228255778657
2022-06-10;19490;21178,25647855828
2022-06-14;19102;21474,740161383543
2022-06-15;19040;21179,74761553546
2022-06-16;19370;21476,252173439985
2022-06-17;19194;21181,238857501903
2022-06-20;19180;20890,278057611682
2022-06-21;18820;21182,730204465
2022-06-22;18940;21479,27651693752
2022-06-23;19100;21779,97431104589
2022-06-24;18934;22084,881705198768
2022-06-27;18586;22394,05763142985
2022-06-28;18252;22086,436676628105
2022-06-29;17652;21783,041425510375
2022-06-30;17400;22087,99175754121
2022-07-01;17100;22397,2112227564
2022-07-04;17024;22710,759586620115
2022-07-05;16700;23028,697451279437
2022-07-06;16452;23351,086267277424
2022-07-07;16550;23677,98834543018
2022-07-08;16720;24009,466868870215
2022-07-11;16270;23679,655485688065
2022-07-12;15922;24011,157348154327
2022-07-13;15200;23681,322743327397
2022-07-14;15302;23356,018984930062
2022-07-15;15600;23682,990118356443
2022-07-18;15282;23357,663455691072
2022-07-19;14914;23684,657610783474
2022-07-20;15050;23359,3080422374
2022-07-21;14800;23038,427710422235
2022-07-22;14730;22721,955222673325
2022-07-25;14794;23040,049819942433
2022-07-26;15850;23362,597562718616
2022-07-27;15640;23041,67204367352
2022-07-28;15500;23364,242496669813
2022-07-29;16150;23043,29438162354
2022-08-01;15590;22726,755041762954
2022-08-02;15140;22414,56391496687
2022-08-03;14754;22728,355206764656
2022-08-04;14710;23046,539400212532
2022-08-05;14394;23369,177993463607
2022-08-08;14458;23696,333345610557
2022-08-09;15150;24028,06868873829
2022-08-10;14970;23698,001777519057
2022-08-11;14908;24029,760477755404
2022-08-12;14826;23699,670326899955
2022-08-15;15142;23374,114532838976
2022-08-16;15444;23701,33899376152
2022-08-17;15370;23375,760277686957
2022-08-18;15160;23703,00777811202
2022-08-19;15330;23377,40613840996
2022-08-22;15430;23056,277198070322
2022-08-23;15592;23379,052115016148
2022-08-24;15458;23706,345699312922
2022-08-25;15384;23380,698207513677
2022-08-26;15392;23708,01483617987
2022-08-29;15594;24039,91371360744
2022-08-30;15650;23709,68409056885
2022-08-31;16140;23383,990740215406
2022-09-01;16600;23062,77134902815
2022-09-02;16746;22745,96445947165
2022-09-05;17000;22433,50945823557
2022-09-06;16604;22125,346564637814
2022-09-07;16222;22125,755613658304
2022-09-08;16244;21821,820249214525
2022-09-09;16740;22127,313462973096
2022-09-12;16756;21823,35669878562
2022-09-13;16432;21523,57530431259
2022-09-14;16214;21523,97322790533
2022-09-15;16212;21825,296750835685
2022-09-16;16228;22130,838633662224
2022-09-19;16016;22440,657931051643
2022-09-20;15260;22754,814524402762
2022-09-21;14776;23073,36913342032
2022-09-22;14794;23396,383327850785
2022-09-23;14148;23723,919539382445
2022-09-26;12850;23398,030640619323
2022-09-27;13278;23076,618387216626
2022-09-28;12930;22759,62128473941
2022-09-29;12338;22446,978683484722
2022-09-30;12458;22138,630766877744
2022-10-03;13186;22448,559149750905
2022-10-04;12956;22140,189522717446
2022-10-05;12516;22450,139727295922
2022-10-06;12400;22141,748388307376
2022-10-07;11932;21837,593335556616
2022-10-10;12500;22143,307363655258
2022-10-11;12794;22453,3012162538
2022-10-12;12698;22144,866448768826
2022-10-13;12616;22454,88212768233
2022-10-14;12640;22146,425643655803
2022-10-17;13246;22456,463150421037
2022-10-18;13222;22147,98494832392
2022-10-19;13018;21843,744225679005
2022-10-20;13084;21844,148068491286
2022-10-21;13160;21544,081068742704
2022-10-24;13152;21248,136006093973
2022-10-25;13470;21545,597963013653
2022-10-26;13136;21249,632063209297
2022-10-27;13266;20957,731764833006
2022-10-28;13548;20958,119227222578
2022-10-31;13758;20670,223359772524
2022-11-01;13624;20386,28223795571
2022-11-02;13404;20106,241536528913
2022-11-03;13406;20387,717612926404
2022-11-07;14070;20673,134196128223
2022-11-08;13968;20389,153088960218
2022-11-09;13720;20109,0729514499
2022-11-10;14044;19832,84019705969
2022-11-11;14764;19560,40197535541
2022-11-14;15456;19834,23660480507
2022-11-15;14984;20111,904765098338
2022-11-16;15224;19835,633110869934
2022-11-17;14946;19563,15652368374
2022-11-18;14986;19294,422871757022
2022-11-21;14654;19564,53394330808
2022-11-22;14802;19295,78137015025
2022-11-23;14752;19565,911459914973
2022-11-24;14766;19297,139964193804
2022-11-25;14632;19032,060507918904
2022-11-28;14570;18770,62237456903
2022-11-29;14464;18512,77554430171
2022-11-30;14384;18258,47068438317
2022-12-01;14650;18007,65913974971
2022-12-02;14484;17760,29292369874
2022-12-05;14824;18008,92703857051
2022-12-06;14718;17761,54340574531
2022-12-07;15038;17517,558013229413
2022-12-08;14886;17762,7939758369
2022-12-09;14940;17518,79140458672
2022-12-12;14760;17764,04463397971
2022-12-13;14924;17520,024882785707
2022-12-14;14718;17765,295380179938
2022-12-15;14280;17521,258447832497
2022-12-16;14498;17766,546214443788
2022-12-19;14652;17522,4920997332
2022-12-20;14816;17281,790488665596
2022-12-21;14870;17523,72583849393
2022-12-22;14958;17769,048147187143
2022-12-23;14904;18017,80483026496
2022-12-26;15050;18018,137939868266
2022-12-27;15282;17770,627779448183
2022-12-28;15140;17526,51759741186
2022-12-29;15242;17771,878989160206
2022-12-30;15300;17527,75161960331
2023-01-03;15520;17773,130286968484
2023-01-04;15574;18021,94411770798
2023-01-05;15340;18274,241202177553
2023-01-06;15438;18023,213022317846
2023-01-09;15370;17775,63314689861
2023-01-10;15324;17531,454207518727
2023-01-11;15410;17776,884709032867
2023-01-12;15440;17532,688577291286
2023-01-13;15334;17778,136359288193
2023-01-16;15488;17533,923033974417
2023-01-17;15294;17293,064399335497
2023-01-18;15316;17055,514372916638
2023-01-19;15200;17294,281984352503
2023-01-20;15154;17536,392208096873
2023-01-23;14980;17295,499655098287
2023-01-24;14776;17057,916176246854
2023-01-25;14882;16823,596315709365
2023-01-26;14800;16592,49524206677
2023-01-27;15032;16824,780846011985
2023-01-30;15150;16593,663500805356
2023-01-31;15144;16365,720950429297
2023-02-01;15258;16594,831841799714
2023-02-02;15164;16366,873242247657
2023-02-03;14990;16142,046046713738
2023-02-06;14942;15920,307239969998
2023-02-07;14960;15701,614397676727
2023-02-08;14852;15921,428170715059
2023-02-09;14918;15702,719930507228
2023-02-10;14840;15487,016024698418
2023-02-13;14892;15274,275183580763
2023-02-14;14760;15488,106447901291
2023-02-15;14500;15704,931229691641
2023-02-16;14398;15924,79143651323
2023-02-17;14478;15706,036996056515
2023-02-20;14540;15490,287524638818
2023-02-21;14710;15277,5017438344
2023-02-22;14474;15491,378178184286
2023-02-24;14390;15278,577415374797
2023-02-27;14578;15492,46890852143
2023-02-28;14498;15709,354762307586
2023-03-01;14734;15493,559715655658
2023-03-02;14510;15710,460840128368
2023-03-03;14562;15494,650599592378
2023-03-06;14560;15711,566995826832
2023-03-07;14676;15495,741560336995
2023-03-09;14586;15282,880858957815
2023-03-10;14576;15496,83259789492
2023-03-13;14554;15283,956909235596
2023-03-14;14556;15497,923712271559
2023-03-15;14464;15714,88593024315
2023-03-16;14442;15934,885497275242
2023-03-17;14560;16157,964934546872
2023-03-20;15044;16384,16735850968
2023-03-21;14864;16613,536489221384
2023-03-22;14970;16385,32094911868
2023-03-23;14932;16160,240342555147
2023-03-24;15080;16160,539109874506
2023-03-27;15184;16386,777570844522
2023-03-28;15186;16616,183243061274
2023-03-29;15084;16848,800465701388
2023-03-30;15024;16617,3531696451
2023-03-31;15010;16389,08520086263
2023-04-03;15084;16618,523178602125
2023-04-04;15214;16390,239137731318
2023-04-05;15200;16165,090971375728
2023-04-06;15380;16165,38982837255
